Occurrence,Filière,Produit,Indicateur,  Valeur 
2010/2011,Agrumes,Autres agrumes,Production-T (Tonnes)," 2,538 "
2010/2011,Agrumes,Autres agrumes,Superficie (Ha), 489 
2010/2011,Agrumes,Citron,Production-T (Tonnes)," 93,177 "
2010/2011,Agrumes,Citron,Superficie (Ha)," 2,834 "
2010/2011,Agrumes,Orange_Autres,Production-T (Tonnes)," 25,952 "
2010/2011,Agrumes,Orange_Autres,Superficie (Ha)," 3,738 "
2010/2011,Agrumes,Orange_Maroc late,Production-T (Tonnes)," 414,549 "
2010/2011,Agrumes,Orange_Maroc late,Superficie (Ha)," 21,523 "
2010/2011,Agrumes,Orange_Navel,Production-T (Tonnes)," 300,867 "
2010/2011,Agrumes,Orange_Navel,Superficie (Ha)," 15,791 "
2010/2011,Agrumes,Orange_Navel lane late,Production-T (Tonnes)," 21,384 "
2010/2011,Agrumes,Orange_Navel lane late,Superficie (Ha)," 1,215 "
2010/2011,Agrumes,Orange_Navel late,Production-T (Tonnes)," 5,660 "
2010/2011,Agrumes,Orange_Navel late,Superficie (Ha), 407 
2010/2011,Agrumes,Orange_Navelina,Production-T (Tonnes), 667 
2010/2011,Agrumes,Orange_Navelina,Superficie (Ha), 38 
2010/2011,Agrumes,Orange_Salustiana,Production-T (Tonnes)," 33,260 "
2010/2011,Agrumes,Orange_Salustiana,Superficie (Ha)," 1,102 "
2010/2011,Agrumes,Orange_Washignton sanguine,Production-T (Tonnes)," 56,247 "
2010/2011,Agrumes,Orange_Washignton sanguine,Superficie (Ha)," 2,570 "
2010/2011,Agrumes,Pamplemousse,Production-T (Tonnes), 689 
2010/2011,Agrumes,Pamplemousse,Superficie (Ha), 54 
2010/2011,Agrumes,Petit fruit_Autres,Production-T (Tonnes)," 49,898 "
2010/2011,Agrumes,Petit fruit_Autres,Superficie (Ha)," 5,546 "
2010/2011,Agrumes,Petit fruit_Clémentine,Production-T (Tonnes)," 440,654 "
2010/2011,Agrumes,Petit fruit_Clémentine,Superficie (Ha)," 27,219 "
2010/2011,Agrumes,Petit fruit_Fortune,Production-T (Tonnes), 551 
2010/2011,Agrumes,Petit fruit_Fortune,Superficie (Ha), 29 
2010/2011,Agrumes,Petit fruit_Nador cott,Production-T (Tonnes)," 30,060 "
2010/2011,Agrumes,Petit fruit_Nador cott,Superficie (Ha)," 2,898 "
2010/2011,Agrumes,Petit fruit_Nour,Production-T (Tonnes)," 121,054 "
2010/2011,Agrumes,Petit fruit_Nour,Superficie (Ha)," 6,635 "
2010/2011,Agrumes,Petit fruit_Nova,Production-T (Tonnes)," 13,611 "
2010/2011,Agrumes,Petit fruit_Nova,Superficie (Ha), 814 
2010/2011,Agrumes,Petit fruit_Nules,Production-T (Tonnes)," 79,966 "
2010/2011,Agrumes,Petit fruit_Nules,Superficie (Ha)," 5,895 "
2010/2011,Agrumes,Petit fruit_Ortanique,Production-T (Tonnes)," 17,236 "
2010/2011,Agrumes,Petit fruit_Ortanique,Superficie (Ha), 710 
2010/2011,Amandiers,Amandier,Production-T (Tonnes)," 101,382 "
2010/2011,Amandiers,Amandier,Superficie (Ha)," 143,969 "
2010/2011,Céréales,Autres céréales,Production-T (Tonnes)," 2,740 "
2010/2011,Céréales,Autres céréales,Superficie (Ha)," 3,200 "
2010/2011,Céréales,Avoine,Production-T (Tonnes)," 36,765 "
2010/2011,Céréales,Avoine,Superficie (Ha)," 54,230 "
2010/2011,Céréales,Blé dur,Production-T (Tonnes)," 1,847,958 "
2010/2011,Céréales,Blé dur,Superficie (Ha)," 957,200 "
2010/2011,Céréales,Blé tendre,Production-T (Tonnes)," 4,169,865 "
2010/2011,Céréales,Blé tendre,Superficie (Ha)," 2,131,000 "
2010/2011,Céréales,Mais,Production-T (Tonnes)," 221,299 "
2010/2011,Céréales,Mais,Superficie (Ha)," 191,888 "
2010/2011,Céréales,Orge,Production-T (Tonnes)," 2,317,611 "
2010/2011,Céréales,Orge,Superficie (Ha)," 2,025,898 "
2010/2011,Céréales,Riz,Production-T (Tonnes)," 17,840 "
2010/2011,Céréales,Riz,Superficie (Ha)," 2,550 "
2010/2011,Céréales,Sorgho,Production-T (Tonnes)," 7,915 "
2010/2011,Céréales,Sorgho,Superficie (Ha)," 9,880 "
2010/2011,Fourragères,Avoine vert,Production-T (Tonnes)," 111,613 "
2010/2011,Fourragères,Avoine vert,Superficie (Ha)," 40,156 "
2010/2011,Fourragères,Bersim,Production-T (Tonnes)," 3,459,570 "
2010/2011,Fourragères,Bersim,Superficie (Ha)," 62,101 "
2010/2011,Fourragères,Lupin,Production-T (Tonnes)," 89,630 "
2010/2011,Fourragères,Lupin,Superficie (Ha)," 3,240 "
2010/2011,Fourragères,Luzerne,Production-T (Tonnes)," 5,562,554 "
2010/2011,Fourragères,Luzerne,Superficie (Ha)," 105,081 "
2010/2011,Fourragères,Mais fourrager,Production-T (Tonnes)," 1,484,196 "
2010/2011,Fourragères,Mais fourrager,Superficie (Ha)," 37,650 "
2010/2011,Fourragères,Mélange fourrager,Production-T (Tonnes)," 438,074 "
2010/2011,Fourragères,Mélange fourrager,Superficie (Ha)," 31,510 "
2010/2011,Fourragères,Orge fourrager,Production-T (Tonnes)," 1,844,154 "
2010/2011,Fourragères,Orge fourrager,Superficie (Ha)," 109,383 "
2010/2011,Fourragères,Pois fourrager,Production-T (Tonnes)," 75,800 "
2010/2011,Fourragères,Pois fourrager,Superficie (Ha)," 13,871 "
2010/2011,Fourragères,Sorgho fourrager,Production-T (Tonnes)," 357,200 "
2010/2011,Fourragères,Sorgho fourrager,Superficie (Ha)," 5,972 "
2010/2011,Fourragères,Triticale,Production-T (Tonnes)," 12,174 "
2010/2011,Fourragères,Triticale,Superficie (Ha)," 2,690 "
2010/2011,Fourragères,Vesce avoine,Production-T (Tonnes)," 275,661 "
2010/2011,Fourragères,Vesce avoine,Superficie (Ha)," 23,490 "
2010/2011,Industrielles,Cannabis,Superficie (Ha)," 97,000 "
2010/2011,Industrielles,Câprier,Production-T (Tonnes)," 19,490 "
2010/2011,Industrielles,Câprier,Superficie (Ha)," 21,581 "
2010/2011,Industrielles,Coriandre récoltée,Production-T (Tonnes)," 4,493 "
2010/2011,Industrielles,Coriandre récoltée,Superficie (Ha)," 3,520 "
2010/2011,Industrielles,Cornichon,Production-T (Tonnes), 3 
2010/2011,Industrielles,Cornichon,Superficie (Ha), 60 
2010/2011,Industrielles,Henné,Production-T (Tonnes)," 10,038 "
2010/2011,Industrielles,Henné,Superficie (Ha)," 3,280 "
2010/2011,Industrielles,Piment de Cayenne,Production-T (Tonnes), 14 
2010/2011,Industrielles,Piment de Cayenne,Superficie (Ha), 7 
2010/2011,Industrielles,Rosier,Production-T (Tonnes), 231 
2010/2011,Industrielles,Rosier,Superficie (Ha), 368 
2010/2011,Industrielles,Safran,Production-T (Tonnes), 5 
2010/2011,Industrielles,Safran,Superficie (Ha)," 1,060 "
2010/2011,Industrielles,Sorgho a balais,Production-T (Tonnes), 372 
2010/2011,Industrielles,Sorgho a balais,Superficie (Ha), 310 
2010/2011,Jachère,Jachère,Superficie (Ha)," 1,497,814 "
2010/2011,Légumineuses,Autres légumineuses,Production-T (Tonnes)," 31,176 "
2010/2011,Légumineuses,Autres légumineuses,Superficie (Ha)," 22,406 "
2010/2011,Légumineuses,Fève,Production-T (Tonnes)," 170,553 "
2010/2011,Légumineuses,Fève,Superficie (Ha)," 199,618 "
2010/2011,Légumineuses,Féverole,Production-T (Tonnes)," 18,500 "
2010/2011,Légumineuses,Féverole,Superficie (Ha)," 2,410 "
2010/2011,Légumineuses,Lentille,Production-T (Tonnes)," 45,439 "
2010/2011,Légumineuses,Lentille,Superficie (Ha)," 57,987 "
2010/2011,Légumineuses,Orobe,Production-T (Tonnes)," 6,498 "
2010/2011,Légumineuses,Orobe,Superficie (Ha)," 10,050 "
2010/2011,Légumineuses,Petit pois,Production-T (Tonnes)," 39,788 "
2010/2011,Légumineuses,Petit pois,Superficie (Ha)," 50,244 "
2010/2011,Légumineuses,Pois chiche,Production-T (Tonnes)," 45,734 "
2010/2011,Légumineuses,Pois chiche,Superficie (Ha)," 88,785 "
2010/2011,Maraîchage,Ail,Production-T (Tonnes)," 22,376 "
2010/2011,Maraîchage,Ail,Superficie (Ha)," 1,513 "
2010/2011,Maraîchage,Artichaut,Production-T (Tonnes)," 43,137 "
2010/2011,Maraîchage,Artichaut,Superficie (Ha)," 2,769 "
2010/2011,Maraîchage,Asperge,Production-T (Tonnes), -   
2010/2011,Maraîchage,Asperge,Superficie (Ha), -   
2010/2011,Maraîchage,Aubergine,Production-T (Tonnes)," 34,824 "
2010/2011,Maraîchage,Aubergine,Superficie (Ha)," 1,775 "
2010/2011,Maraîchage,Autres cultures maraichères,Production-T (Tonnes)," 560,598 "
2010/2011,Maraîchage,Autres cultures maraichères,Superficie (Ha)," 24,923 "
2010/2011,Maraîchage,Betterave potager,Production-T (Tonnes)," 5,713 "
2010/2011,Maraîchage,Betterave potager,Superficie (Ha), 330 
2010/2011,Maraîchage,Carotte,Production-T (Tonnes)," 427,734 "
2010/2011,Maraîchage,Carotte,Superficie (Ha)," 12,944 "
2010/2011,Maraîchage,Choux fleur,Production-T (Tonnes)," 104,569 "
2010/2011,Maraîchage,Choux fleur,Superficie (Ha)," 3,637 "
2010/2011,Maraîchage,Choux pomme,Production-T (Tonnes)," 10,341 "
2010/2011,Maraîchage,Choux pomme,Superficie (Ha), 863 
2010/2011,Maraîchage,Concombre,Production-T (Tonnes)," 51,224 "
2010/2011,Maraîchage,Concombre,Superficie (Ha)," 1,040 "
2010/2011,Maraîchage,Courge courgette,Production-T (Tonnes)," 219,609 "
2010/2011,Maraîchage,Courge courgette,Superficie (Ha)," 8,110 "
2010/2011,Maraîchage,Fève verte,Production-T (Tonnes)," 106,148 "
2010/2011,Maraîchage,Fève verte,Superficie (Ha)," 7,746 "
2010/2011,Maraîchage,Fraisier,Production-T (Tonnes)," 110,716 "
2010/2011,Maraîchage,Fraisier,Superficie (Ha)," 2,517 "
2010/2011,Maraîchage,Framboise,Production-T (Tonnes)," 4,133 "
2010/2011,Maraîchage,Framboise,Superficie (Ha), 310 
2010/2011,Maraîchage,Haricot vert,Production-T (Tonnes)," 120,612 "
2010/2011,Maraîchage,Haricot vert,Superficie (Ha)," 6,028 "
2010/2011,Maraîchage,Melon,Production-T (Tonnes)," 777,605 "
2010/2011,Maraîchage,Melon,Superficie (Ha)," 24,770 "
2010/2011,Maraîchage,Menthe,Production-T (Tonnes)," 55,319 "
2010/2011,Maraîchage,Menthe,Superficie (Ha)," 2,125 "
2010/2011,Maraîchage,Myrtille,Production-T (Tonnes)," 3,009 "
2010/2011,Maraîchage,Myrtille,Superficie (Ha), 240 
2010/2011,Maraîchage,Navet,Production-T (Tonnes)," 162,185 "
2010/2011,Maraîchage,Navet,Superficie (Ha)," 7,652 "
2010/2011,Maraîchage,Niora,Production-T (Tonnes)," 31,953 "
2010/2011,Maraîchage,Niora,Superficie (Ha)," 1,648 "
2010/2011,Maraîchage,Oignon,Production-T (Tonnes)," 860,913 "
2010/2011,Maraîchage,Oignon,Superficie (Ha)," 30,690 "
2010/2011,Maraîchage,Oignon vert,Production-T (Tonnes)," 2,864 "
2010/2011,Maraîchage,Oignon vert,Superficie (Ha), 179 
2010/2011,Maraîchage,Pastèque,Production-T (Tonnes)," 579,982 "
2010/2011,Maraîchage,Pastèque,Superficie (Ha)," 15,407 "
2010/2011,Maraîchage,Patate douce,Production-T (Tonnes)," 17,582 "
2010/2011,Maraîchage,Patate douce,Superficie (Ha), 825 
2010/2011,Maraîchage,Petit Pois vert,Production-T (Tonnes)," 160,136 "
2010/2011,Maraîchage,Petit Pois vert,Superficie (Ha)," 20,685 "
2010/2011,Maraîchage,Piment poivron,Production-T (Tonnes)," 143,128 "
2010/2011,Maraîchage,Piment poivron,Superficie (Ha)," 4,179 "
2010/2011,Maraîchage,Pomme de terre,Production-T (Tonnes)," 1,721,402 "
2010/2011,Maraîchage,Pomme de terre,Superficie (Ha)," 57,846 "
2010/2011,Maraîchage,Tomate,Production-T (Tonnes)," 1,217,905 "
2010/2011,Maraîchage,Tomate,Superficie (Ha)," 17,128 "
2010/2011,Oléagineuses,Arachide,Production-T (Tonnes)," 39,710 "
2010/2011,Oléagineuses,Arachide,Superficie (Ha)," 17,840 "
2010/2011,Oléagineuses,Sésame,Production-T (Tonnes)," 1,137 "
2010/2011,Oléagineuses,Sésame,Superficie (Ha)," 1,190 "
2010/2011,Oléagineuses,Tournesol,Production-T (Tonnes)," 48,131 "
2010/2011,Oléagineuses,Tournesol,Superficie (Ha)," 36,573 "
2010/2011,Oliviers,Olivier,Production-T (Tonnes)," 1,405,224 "
2010/2011,Oliviers,Olivier,Superficie (Ha)," 838,876 "
2010/2011,Palmiers-Dattiers,Palmier dattier,Production-T (Tonnes)," 102,962 "
2010/2011,Palmiers-Dattiers,Palmier dattier,Superficie (Ha)," 54,476 "
2010/2011,Rosacées,Abricotier,Production-T (Tonnes)," 159,124 "
2010/2011,Rosacées,Abricotier,Superficie (Ha)," 12,506 "
2010/2011,Rosacées,Autres plantations fruitières,Production-T (Tonnes)," 47,693 "
2010/2011,Rosacées,Autres plantations fruitières,Superficie (Ha)," 4,072 "
2010/2011,Rosacées,Avocatier,Production-T (Tonnes)," 33,519 "
2010/2011,Rosacées,Avocatier,Superficie (Ha)," 2,772 "
2010/2011,Rosacées,Bananier,Production-T (Tonnes)," 277,297 "
2010/2011,Rosacées,Bananier,Superficie (Ha)," 6,626 "
2010/2011,Rosacées,Caroubier,Production-T (Tonnes)," 1,943 "
2010/2011,Rosacées,Caroubier,Superficie (Ha), 457 
2010/2011,Rosacées,Cerisier,Production-T (Tonnes)," 8,210 "
2010/2011,Rosacées,Cerisier,Superficie (Ha)," 2,096 "
2010/2011,Rosacées,Cognassier,Production-T (Tonnes)," 31,994 "
2010/2011,Rosacées,Cognassier,Superficie (Ha)," 3,834 "
2010/2011,Rosacées,Figuier,Production-T (Tonnes)," 114,770 "
2010/2011,Rosacées,Figuier,Superficie (Ha)," 51,449 "
2010/2011,Rosacées,Grenadier,Production-T (Tonnes)," 83,081 "
2010/2011,Rosacées,Grenadier,Superficie (Ha)," 7,064 "
2010/2011,Rosacées,Néflier,Production-T (Tonnes)," 4,563 "
2010/2011,Rosacées,Néflier,Superficie (Ha), 477 
2010/2011,Rosacées,Noyer,Production-T (Tonnes)," 9,339 "
2010/2011,Rosacées,Noyer,Superficie (Ha)," 5,111 "
2010/2011,Rosacées,Pacanier,Production-T (Tonnes), 369 
2010/2011,Rosacées,Pacanier,Superficie (Ha), 115 
2010/2011,Rosacées,Pêcher-nectarine,Production-T (Tonnes)," 74,771 "
2010/2011,Rosacées,Pêcher-nectarine,Superficie (Ha)," 5,396 "
2010/2011,Rosacées,Pistachier,Production-T (Tonnes), 102 
2010/2011,Rosacées,Pistachier,Superficie (Ha), 91 
2010/2011,Rosacées,Poirier,Production-T (Tonnes)," 36,177 "
2010/2011,Rosacées,Poirier,Superficie (Ha)," 3,402 "
2010/2011,Rosacées,Pommier,Production-T (Tonnes)," 517,589 "
2010/2011,Rosacées,Pommier,Superficie (Ha)," 37,728 "
2010/2011,Rosacées,Prunier,Production-T (Tonnes)," 64,768 "
2010/2011,Rosacées,Prunier,Superficie (Ha)," 12,927 "
2010/2011,Sucrières,Betterave à sucre,Production-T (Tonnes)," 3,035,143 "
2010/2011,Sucrières,Betterave à sucre,Superficie (Ha)," 51,730 "
2010/2011,Sucrières,Canne à sucre,Production-T (Tonnes)," 763,913 "
2010/2011,Sucrières,Canne à sucre,Superficie (Ha)," 7,645 "
2010/2011,Vignes,Raisin de cuve,Production-T (Tonnes)," 89,033 "
2010/2011,Vignes,Raisin de cuve,Superficie (Ha)," 9,199 "
2010/2011,Vignes,Raisin de table,Production-T (Tonnes)," 203,780 "
2010/2011,Vignes,Raisin de table,Superficie (Ha)," 34,063 "
2011/2012,Agrumes,Autres agrumes,Production-T (Tonnes)," 5,584 "
2011/2012,Agrumes,Autres agrumes,Superficie (Ha), 732 
2011/2012,Agrumes,Citron,Production-T (Tonnes)," 27,278 "
2011/2012,Agrumes,Citron,Superficie (Ha)," 2,764 "
2011/2012,Agrumes,Orange_Autres,Production-T (Tonnes)," 31,603 "
2011/2012,Agrumes,Orange_Autres,Superficie (Ha)," 3,735 "
2011/2012,Agrumes,Orange_Maroc late,Production-T (Tonnes)," 450,520 "
2011/2012,Agrumes,Orange_Maroc late,Superficie (Ha)," 23,677 "
2011/2012,Agrumes,Orange_Navel,Production-T (Tonnes)," 358,615 "
2011/2012,Agrumes,Orange_Navel,Superficie (Ha)," 17,130 "
2011/2012,Agrumes,Orange_Navel lane late,Production-T (Tonnes)," 24,544 "
2011/2012,Agrumes,Orange_Navel lane late,Superficie (Ha)," 1,354 "
2011/2012,Agrumes,Orange_Navel late,Production-T (Tonnes)," 4,459 "
2011/2012,Agrumes,Orange_Navel late,Superficie (Ha), 424 
2011/2012,Agrumes,Orange_Navelina,Production-T (Tonnes), 387 
2011/2012,Agrumes,Orange_Navelina,Superficie (Ha), 15 
2011/2012,Agrumes,Orange_Salustiana,Production-T (Tonnes)," 31,837 "
2011/2012,Agrumes,Orange_Salustiana,Superficie (Ha)," 1,067 "
2011/2012,Agrumes,Orange_Washignton sanguine,Production-T (Tonnes)," 57,875 "
2011/2012,Agrumes,Orange_Washignton sanguine,Superficie (Ha)," 2,704 "
2011/2012,Agrumes,Pamplemousse,Production-T (Tonnes), 846 
2011/2012,Agrumes,Pamplemousse,Superficie (Ha), 73 
2011/2012,Agrumes,Petit fruit_Autres,Production-T (Tonnes)," 35,469 "
2011/2012,Agrumes,Petit fruit_Autres,Superficie (Ha)," 4,403 "
2011/2012,Agrumes,Petit fruit_Clémentine,Production-T (Tonnes)," 543,868 "
2011/2012,Agrumes,Petit fruit_Clémentine,Superficie (Ha)," 30,139 "
2011/2012,Agrumes,Petit fruit_Fortune,Production-T (Tonnes)," 1,387 "
2011/2012,Agrumes,Petit fruit_Fortune,Superficie (Ha), 77 
2011/2012,Agrumes,Petit fruit_Nador cott,Production-T (Tonnes)," 59,280 "
2011/2012,Agrumes,Petit fruit_Nador cott,Superficie (Ha)," 3,152 "
2011/2012,Agrumes,Petit fruit_Nour,Production-T (Tonnes)," 99,120 "
2011/2012,Agrumes,Petit fruit_Nour,Superficie (Ha)," 6,940 "
2011/2012,Agrumes,Petit fruit_Nova,Production-T (Tonnes)," 16,023 "
2011/2012,Agrumes,Petit fruit_Nova,Superficie (Ha), 938 
2011/2012,Agrumes,Petit fruit_Nules,Production-T (Tonnes)," 100,648 "
2011/2012,Agrumes,Petit fruit_Nules,Superficie (Ha)," 6,882 "
2011/2012,Agrumes,Petit fruit_Ortanique,Production-T (Tonnes)," 15,876 "
2011/2012,Agrumes,Petit fruit_Ortanique,Superficie (Ha), 726 
2011/2012,Amandiers,Amandier,Production-T (Tonnes)," 100,197 "
2011/2012,Amandiers,Amandier,Superficie (Ha)," 147,999 "
2011/2012,Céréales,Autres céréales,Production-T (Tonnes), 223 
2011/2012,Céréales,Autres céréales,Superficie (Ha), 248 
2011/2012,Céréales,Avoine,Production-T (Tonnes)," 56,057 "
2011/2012,Céréales,Avoine,Superficie (Ha)," 47,390 "
2011/2012,Céréales,Blé dur,Production-T (Tonnes)," 1,130,042 "
2011/2012,Céréales,Blé dur,Superficie (Ha)," 959,258 "
2011/2012,Céréales,Blé tendre,Production-T (Tonnes)," 2,613,241 "
2011/2012,Céréales,Blé tendre,Superficie (Ha)," 2,028,149 "
2011/2012,Céréales,Mais,Production-T (Tonnes)," 79,721 "
2011/2012,Céréales,Mais,Superficie (Ha)," 114,965 "
2011/2012,Céréales,Orge,Production-T (Tonnes)," 1,195,413 "
2011/2012,Céréales,Orge,Superficie (Ha)," 1,887,834 "
2011/2012,Céréales,Riz,Production-T (Tonnes)," 45,554 "
2011/2012,Céréales,Riz,Superficie (Ha)," 5,994 "
2011/2012,Céréales,Sorgho,Production-T (Tonnes)," 5,780 "
2011/2012,Céréales,Sorgho,Superficie (Ha)," 6,100 "
2011/2012,Fourragères,Avoine vert,Production-T (Tonnes)," 328,078 "
2011/2012,Fourragères,Avoine vert,Superficie (Ha)," 28,868 "
2011/2012,Fourragères,Bersim,Production-T (Tonnes)," 3,505,299 "
2011/2012,Fourragères,Bersim,Superficie (Ha)," 66,927 "
2011/2012,Fourragères,Lupin,Production-T (Tonnes)," 50,031 "
2011/2012,Fourragères,Lupin,Superficie (Ha)," 4,510 "
2011/2012,Fourragères,Luzerne,Production-T (Tonnes)," 4,154,450 "
2011/2012,Fourragères,Luzerne,Superficie (Ha)," 102,631 "
2011/2012,Fourragères,Mais fourrager,Production-T (Tonnes)," 695,950 "
2011/2012,Fourragères,Mais fourrager,Superficie (Ha)," 17,576 "
2011/2012,Fourragères,Mélange fourrager,Production-T (Tonnes)," 258,103 "
2011/2012,Fourragères,Mélange fourrager,Superficie (Ha)," 25,158 "
2011/2012,Fourragères,Orge fourrager,Production-T (Tonnes)," 1,912,932 "
2011/2012,Fourragères,Orge fourrager,Superficie (Ha)," 120,852 "
2011/2012,Fourragères,Pois fourrager,Production-T (Tonnes)," 77,989 "
2011/2012,Fourragères,Pois fourrager,Superficie (Ha)," 21,163 "
2011/2012,Fourragères,Sorgho fourrager,Production-T (Tonnes)," 3,900 "
2011/2012,Fourragères,Sorgho fourrager,Superficie (Ha), 150 
2011/2012,Fourragères,Triticale,Production-T (Tonnes)," 11,764 "
2011/2012,Fourragères,Triticale,Superficie (Ha)," 2,580 "
2011/2012,Fourragères,Vesce avoine,Production-T (Tonnes)," 180,260 "
2011/2012,Fourragères,Vesce avoine,Superficie (Ha)," 16,675 "
2011/2012,Industrielles,Cannabis,Superficie (Ha)," 71,640 "
2011/2012,Industrielles,Câprier,Production-T (Tonnes)," 31,700 "
2011/2012,Industrielles,Câprier,Superficie (Ha)," 21,545 "
2011/2012,Industrielles,Coriandre récoltée,Production-T (Tonnes)," 2,574 "
2011/2012,Industrielles,Coriandre récoltée,Superficie (Ha)," 2,544 "
2011/2012,Industrielles,Henné,Production-T (Tonnes)," 1,950 "
2011/2012,Industrielles,Henné,Superficie (Ha)," 1,440 "
2011/2012,Industrielles,Rosier,Superficie (Ha), 40 
2011/2012,Industrielles,Safran,Production-T (Tonnes), 5 
2011/2012,Industrielles,Safran,Superficie (Ha), 850 
2011/2012,Industrielles,Tabac,Production-T (Tonnes), 580 
2011/2012,Industrielles,Tabac,Superficie (Ha), 580 
2011/2012,Légumineuses,Autres légumineuses,Production-T (Tonnes)," 36,108 "
2011/2012,Légumineuses,Autres légumineuses,Superficie (Ha)," 42,364 "
2011/2012,Légumineuses,Fève,Production-T (Tonnes)," 145,050 "
2011/2012,Légumineuses,Fève,Superficie (Ha)," 184,230 "
2011/2012,Légumineuses,Féverole,Production-T (Tonnes)," 11,937 "
2011/2012,Légumineuses,Féverole,Superficie (Ha)," 12,394 "
2011/2012,Légumineuses,Lentille,Production-T (Tonnes)," 21,415 "
2011/2012,Légumineuses,Lentille,Superficie (Ha)," 48,535 "
2011/2012,Légumineuses,Orobe,Production-T (Tonnes)," 1,702 "
2011/2012,Légumineuses,Orobe,Superficie (Ha)," 5,080 "
2011/2012,Légumineuses,Petit pois,Production-T (Tonnes)," 29,072 "
2011/2012,Légumineuses,Petit pois,Superficie (Ha)," 51,373 "
2011/2012,Légumineuses,Pois chiche,Production-T (Tonnes)," 25,913 "
2011/2012,Légumineuses,Pois chiche,Superficie (Ha)," 40,417 "
2011/2012,Maraîchage,Ail,Production-T (Tonnes)," 5,294 "
2011/2012,Maraîchage,Ail,Superficie (Ha), 878 
2011/2012,Maraîchage,Artichaut,Production-T (Tonnes)," 63,889 "
2011/2012,Maraîchage,Artichaut,Superficie (Ha)," 3,819 "
2011/2012,Maraîchage,Asperge,Production-T (Tonnes), -   
2011/2012,Maraîchage,Asperge,Superficie (Ha), -   
2011/2012,Maraîchage,Aubergine,Production-T (Tonnes)," 50,147 "
2011/2012,Maraîchage,Aubergine,Superficie (Ha)," 2,046 "
2011/2012,Maraîchage,Autres cultures maraichères,Production-T (Tonnes)," 316,873 "
2011/2012,Maraîchage,Autres cultures maraichères,Superficie (Ha)," 16,754 "
2011/2012,Maraîchage,Betterave potager,Production-T (Tonnes)," 34,811 "
2011/2012,Maraîchage,Betterave potager,Superficie (Ha)," 1,100 "
2011/2012,Maraîchage,Carotte,Production-T (Tonnes)," 707,316 "
2011/2012,Maraîchage,Carotte,Superficie (Ha)," 14,264 "
2011/2012,Maraîchage,Choux fleur,Production-T (Tonnes)," 61,066 "
2011/2012,Maraîchage,Choux fleur,Superficie (Ha)," 2,305 "
2011/2012,Maraîchage,Choux pomme,Production-T (Tonnes)," 112,169 "
2011/2012,Maraîchage,Choux pomme,Superficie (Ha)," 2,986 "
2011/2012,Maraîchage,Concombre,Production-T (Tonnes)," 55,335 "
2011/2012,Maraîchage,Concombre,Superficie (Ha)," 1,461 "
2011/2012,Maraîchage,Courge courgette,Production-T (Tonnes)," 256,520 "
2011/2012,Maraîchage,Courge courgette,Superficie (Ha)," 9,300 "
2011/2012,Maraîchage,Fève verte,Production-T (Tonnes)," 117,736 "
2011/2012,Maraîchage,Fève verte,Superficie (Ha)," 11,189 "
2011/2012,Maraîchage,Fraisier,Production-T (Tonnes)," 139,683 "
2011/2012,Maraîchage,Fraisier,Superficie (Ha)," 3,320 "
2011/2012,Maraîchage,Framboise,Production-T (Tonnes)," 4,043 "
2011/2012,Maraîchage,Framboise,Superficie (Ha), 322 
2011/2012,Maraîchage,Haricot vert,Production-T (Tonnes)," 133,744 "
2011/2012,Maraîchage,Haricot vert,Superficie (Ha)," 5,649 "
2011/2012,Maraîchage,Melon,Production-T (Tonnes)," 717,602 "
2011/2012,Maraîchage,Melon,Superficie (Ha)," 20,982 "
2011/2012,Maraîchage,Menthe,Production-T (Tonnes)," 99,006 "
2011/2012,Maraîchage,Menthe,Superficie (Ha)," 4,006 "
2011/2012,Maraîchage,Myrtille,Production-T (Tonnes)," 2,972 "
2011/2012,Maraîchage,Myrtille,Superficie (Ha), 246 
2011/2012,Maraîchage,Navet,Production-T (Tonnes)," 131,708 "
2011/2012,Maraîchage,Navet,Superficie (Ha)," 6,503 "
2011/2012,Maraîchage,Niora,Production-T (Tonnes)," 34,850 "
2011/2012,Maraîchage,Niora,Superficie (Ha)," 1,960 "
2011/2012,Maraîchage,Oignon,Production-T (Tonnes)," 855,764 "
2011/2012,Maraîchage,Oignon,Superficie (Ha)," 30,424 "
2011/2012,Maraîchage,Oignon vert,Production-T (Tonnes)," 3,043 "
2011/2012,Maraîchage,Oignon vert,Superficie (Ha), 179 
2011/2012,Maraîchage,Pastèque,Production-T (Tonnes)," 574,859 "
2011/2012,Maraîchage,Pastèque,Superficie (Ha)," 14,159 "
2011/2012,Maraîchage,Patate douce,Production-T (Tonnes)," 25,941 "
2011/2012,Maraîchage,Patate douce,Superficie (Ha), 958 
2011/2012,Maraîchage,Petit Pois vert,Production-T (Tonnes)," 131,325 "
2011/2012,Maraîchage,Petit Pois vert,Superficie (Ha)," 21,155 "
2011/2012,Maraîchage,Piment poivron,Production-T (Tonnes)," 180,591 "
2011/2012,Maraîchage,Piment poivron,Superficie (Ha)," 4,970 "
2011/2012,Maraîchage,Pomme de terre,Production-T (Tonnes)," 1,656,891 "
2011/2012,Maraîchage,Pomme de terre,Superficie (Ha)," 59,217 "
2011/2012,Maraîchage,Tomate,Production-T (Tonnes)," 1,219,072 "
2011/2012,Maraîchage,Tomate,Superficie (Ha)," 15,639 "
2011/2012,Oléagineuses,Arachide,Production-T (Tonnes)," 36,348 "
