,Occurrence,Filière,Produit,Indicateur, Valeur 
76,2021,Cheptel_Ovins,Ovins_Males,Effectif (1000 Tête),7128.0
0,2010,Agrumes,Autres agrumes,Production-T (Tonnes),2538.0
1,2010,Agrumes,Autres agrumes,Superficie (Ha),489.0
2,2010,Agrumes,Citron,Production-T (Tonnes),93177.0
3,2010,Agrumes,Citron,Superficie (Ha),2834.0
4,2010,Agrumes,Orange_Autres,Production-T (Tonnes),25952.0
5,2010,Agrumes,Orange_Autres,Superficie (Ha),3738.0
6,2010,Agrumes,Orange_Maroc late,Production-T (Tonnes),414549.0
7,2010,Agrumes,Orange_Maroc late,Superficie (Ha),21523.0
8,2010,Agrumes,Orange_Navel,Production-T (Tonnes),300867.0
9,2010,Agrumes,Orange_Navel,Superficie (Ha),15791.0
10,2010,Agrumes,Orange_Navel lane late,Production-T (Tonnes),21384.0
11,2010,Agrumes,Orange_Navel lane late,Superficie (Ha),1215.0
12,2010,Agrumes,Orange_Navel late,Production-T (Tonnes),5660.0
13,2010,Agrumes,Orange_Navel late,Superficie (Ha),407.0
14,2010,Agrumes,Orange_Navelina,Production-T (Tonnes),667.0
15,2010,Agrumes,Orange_Navelina,Superficie (Ha),38.0
16,2010,Agrumes,Orange_Salustiana,Production-T (Tonnes),33260.0
17,2010,Agrumes,Orange_Salustiana,Superficie (Ha),1102.0
18,2010,Agrumes,Orange_Washignton sanguine,Production-T (Tonnes),56247.0
19,2010,Agrumes,Orange_Washignton sanguine,Superficie (Ha),2570.0
20,2010,Agrumes,Pamplemousse,Production-T (Tonnes),689.0
21,2010,Agrumes,Pamplemousse,Superficie (Ha),54.0
22,2010,Agrumes,Petit fruit_Autres,Production-T (Tonnes),49898.0
23,2010,Agrumes,Petit fruit_Autres,Superficie (Ha),5546.0
24,2010,Agrumes,Petit fruit_Clémentine,Production-T (Tonnes),440654.0
25,2010,Agrumes,Petit fruit_Clémentine,Superficie (Ha),27219.0
26,2010,Agrumes,Petit fruit_Fortune,Production-T (Tonnes),551.0
27,2010,Agrumes,Petit fruit_Fortune,Superficie (Ha),29.0
28,2010,Agrumes,Petit fruit_Nador cott,Production-T (Tonnes),30060.0
29,2010,Agrumes,Petit fruit_Nador cott,Superficie (Ha),2898.0
30,2010,Agrumes,Petit fruit_Nour,Production-T (Tonnes),121054.0
31,2010,Agrumes,Petit fruit_Nour,Superficie (Ha),6635.0
